Simulation Identification;sensor.SimpleWSNNode_Random100
Round;11
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;100
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8632624
Total Number of Sensed Events by the WSN;257596
Number of Sensed Events by the WSN per Day
1;3206
2;3236
3;3190
4;3205
5;3205
6;3205
7;3193
8;3129
9;3173
10;3184
11;3199
12;3230
13;3188
14;3145
15;3141
16;3150
17;3208
18;3196
19;3212
20;3195
21;3188
22;3179
23;3192
24;3175
25;3211
26;3228
27;3205
28;3202
29;3208
30;3162
31;3222
32;3251
33;3255
34;3246
35;3283
36;3154
37;3169
38;3187
39;3144
40;3176
41;3164
42;3216
43;3186
44;3297
45;3241
46;3214
47;3213
48;3209
49;3219
50;3212
51;3182
52;3286
53;3154
54;3216
55;3156
56;3168
57;3207
58;3175
59;3223
60;3254
61;3154
62;3245
63;3132
64;3241
65;3241
66;3213
67;3247
68;3177
69;3231
70;3182
71;3166
72;3181
73;3172
74;3218
75;3127
76;3173
77;3254
78;1742
79;1338
80;1339
81;1272
82;1162
83;924
84;869
85;764
86;668
87;318
88;334
89;286
90;202
91;5
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;276229;13877;1;13912;6681250.071333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;659458;78165;0;14060;6656197.676667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;76211;13295;1;8483;7586086.896667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;320375;13957;0;13957;6673749.591333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;221625;49724;0;11676;7053701.656
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;149435;10402;1;10188;7301937.588
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;343336;23020;1;13855;6690695.213333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;716045;120271;1;13988;6667945.040668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;93786;11634;1;8703;7549430.196
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;352415;13941;0;13964;6672583.020666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;182360;18663;1;11362;7106221.355333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;1019808;715613;0;7935;7673206.322009
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;155696;34061;1;13779;6703295.634
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;10658;1817;1;2230;8628322.431333
