Simulation Identification;sensor.SimpleWSNNode_Random64
Round;15
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;64
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8255414
Total Number of Sensed Events by the WSN;232656
Number of Sensed Events by the WSN per Day
1;2951
2;2980
3;2984
4;2988
5;3017
6;3007
7;2923
8;2981
9;3002
10;2934
11;3018
12;2975
13;3019
14;2928
15;3005
16;3088
17;2972
18;2981
19;2967
20;2999
21;2973
22;3040
23;3000
24;2962
25;3005
26;3002
27;2970
28;2945
29;3036
30;3022
31;3022
32;3018
33;2973
34;3022
35;3031
36;2982
37;2962
38;3017
39;3042
40;3059
41;3049
42;3037
43;3044
44;2971
45;2991
46;3003
47;3001
48;3025
49;2984
50;2945
51;2975
52;3008
53;2964
54;2964
55;2984
56;3019
57;3048
58;3031
59;3002
60;2972
61;3014
62;3032
63;3015
64;2991
65;3003
66;2961
67;2991
68;3014
69;2947
70;2987
71;3014
72;2975
73;3019
74;2989
75;3038
76;2941
77;3019
78;902
79;582
80;277
81;126
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;617479;147124;0;14162;6638783.922668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;1283278;13912;0;13912;6681249.861333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;356039;13910;1;13909;6681749.873333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;36825;13341;1;13481;6753086.620667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;168681;13677;0;13677;6720417.938
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;350422;133258;0;14085;6651700.452001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;107007;54903;1;8437;7593503.915334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;299538;115765;1;13349;6774472.076668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;55722;4086;1;5038;8160308.817333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;27556;8685;1;9679;7386781.223333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;354549;143521;0;13956;6673138.874001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;239206;119221;1;13901;6682451.340668
