Simulation Identification;sensor.SimpleWSNNode_Random81
Round;20
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;81
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8540657
Total Number of Sensed Events by the WSN;240483
Number of Sensed Events by the WSN per Day
1;3007
2;3067
3;3060
4;3088
5;3103
6;3077
7;3029
8;3058
9;3059
10;3057
11;3088
12;3104
13;3063
14;3134
15;3019
16;3013
17;3101
18;3058
19;3061
20;3031
21;3128
22;2984
23;3098
24;3033
25;3067
26;3092
27;3091
28;3020
29;3082
30;3098
31;3097
32;3095
33;3052
34;3105
35;3060
36;3118
37;3087
38;3063
39;3055
40;3083
41;3025
42;3069
43;3050
44;3057
45;3043
46;3060
47;3060
48;3039
49;3056
50;3056
51;3104
52;3094
53;3142
54;3095
55;3104
56;3101
57;3080
58;3100
59;3108
60;3058
61;3044
62;3079
63;3070
64;3090
65;3076
66;3083
67;3164
68;3157
69;3086
70;3051
71;3061
72;3099
73;3035
74;3095
75;3117
76;3070
77;3070
78;1127
79;416
80;369
81;383
82;189
83;157
84;157
85;189
86;143
87;151
88;150
89;85
90;106
91;83
92;45
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;143079;66550;1;10930;7177934.033334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;828014;351672;1;11722;7044223.301337
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;72554;10783;1;11452;7091268.635333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;441240;165127;1;13903;6681842.571335
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;61654;15999;1;4663;8222737.339334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;591999;14044;0;14044;6659249.069333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;83120;40922;1;13043;6825921.134667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;625478;24130;1;10151;7308021.886667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;330275;41971;0;14022;6662748.174
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;521322;249597;1;13651;6723335.751336
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;302403;81363;1;14068;6654845.155334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;28046;13934;1;13984;6669249.729333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;344165;14066;0;14066;6655582.270666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;8924;7512666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;677731;50164;0;13502;6749365.682667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;285278;3463;1;4273;8287812.555333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;905348;411407;1;7514;7745198.224673
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;532331;6007;1;7021;7829797.291333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;1181961;27712;0;13726;6712167.061333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;1310424;6488;1;6488;7918627.738667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;208774;13927;1;13913;6681083.104666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;1355353;14002;0;14002;6666249.321333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;815439;14029;0;14029;6661749.159333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;97617;27949;1;14095;6650665.639333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;69522;2677;1;3400;8433317.271333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;690680;317357;0;13960;6671429.191336
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;292663;13999;0;13999;6666749.339333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;1355367;14001;0;14001;6666415.994
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;732637;14142;0;13977;6670415.148
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;890732;446794;0;11891;7015485.902671
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;717051;275913;0;13914;6679344.522002
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;523958;261999;0;13946;6674094.672669
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;870371;28116;1;13974;6670831.304
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;263157;13835;1;13856;6690583.656667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;208889;13812;1;13854;6690917.128
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;94377;15757;1;11081;7153072.124667
