Simulation Identification;sensor.SimpleWSNNode_Random81
Round;1
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;81
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8507804
Total Number of Sensed Events by the WSN;246140
Number of Sensed Events by the WSN per Day
1;3214
2;3119
3;3139
4;3117
5;3111
6;3170
7;3147
8;3148
9;3107
10;3115
11;3099
12;3110
13;3141
14;3118
15;3166
16;3156
17;3111
18;3125
19;3099
20;3149
21;3122
22;3116
23;3137
24;3102
25;3126
26;3178
27;3140
28;3149
29;3154
30;3081
31;3152
32;3134
33;3145
34;3143
35;3095
36;3177
37;3127
38;3141
39;3150
40;3090
41;3110
42;3102
43;3147
44;3117
45;3214
46;3163
47;3163
48;3161
49;3092
50;3121
51;3152
52;3097
53;3175
54;3171
55;3101
56;3242
57;3091
58;3132
59;3119
60;3109
61;3165
62;3084
63;3097
64;3148
65;3164
66;3129
67;3128
68;3059
69;3139
70;3112
71;3148
72;3123
73;3125
74;3098
75;3185
76;3125
77;3141
78;975
79;674
80;682
81;623
82;535
83;332
84;195
85;210
86;156
87;165
88;145
89;80
90;79
91;20
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;105859;13844;0;13844;6692583.602666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;776385;311784;0;10689;7216629.296003
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;62542;7228;1;8258;7623623.298667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;877872;348559;0;9949;7339741.979337
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;41960;14039;0;14039;6660082.432666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;673851;13993;0;13993;6667749.375333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;1081257;13080;0;13080;6819921.52
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;232769;40954;0;14083;6652587.609333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;80357;4941;1;5890;8018303.687333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;206401;12761;1;13075;6820756.767333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;13939;2921;1;3732;8377982.474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;673935;220582;1;13933;6676509.841335
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;149387;67592;1;13740;6709594.448
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;98339;36228;1;13974;6670782.632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;68872;14019;1;14033;6661082.552666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;57292;13939;1;11714;7047583.032667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;0;0;1;2963;8506166.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;446381;442459;1;7228;7792678.57934
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;91673;16736;1;11143;7142732.917333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;715871;14059;0;13980;6669915.646
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;470038;42075;1;13979;6669914.216667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;883456;70126;0;13990;6667912.577334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;487889;488117;1;11326;7109404.631338
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;580945;284179;1;9954;7339294.926003
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;258362;21393;1;14196;6633871.642
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;1207668;8447;1;8447;7592115.984667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;187999;40039;1;13697;6716926.432667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;153472;14036;0;14039;6660082.450667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;242976;13954;0;13980;6669916.276
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;712892;13874;0;13874;6687583.422666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;97840;12884;1;13175;6804089.362667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;1196609;40119;1;12401;6932925.952667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;855391;357751;0;13990;6666186.827337
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;508774;206662;1;13939;6675593.361335
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;953067;84052;0;13926;6678495.688
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;267589;13915;1;13958;6673583.176666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;44731;22261;0;13817;6697033.100667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;488117;7150;1;7721;7713123.766667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;39970;8407;1;9325;7445782.891333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;385250;122710;0;14025;6661763.740001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;535532;4574;1;5253;8124472.556
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;203022;13869;0;13917;6680416.786
