Simulation Identification;sensor.SimpleWSNNode_Random81
Round;11
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;81
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8273683
Total Number of Sensed Events by the WSN;247839
Number of Sensed Events by the WSN per Day
1;3144
2;3219
3;3192
4;3170
5;3165
6;3211
7;3180
8;3212
9;3176
10;3210
11;3157
12;3165
13;3156
14;3206
15;3117
16;3191
17;3151
18;3106
19;3129
20;3191
21;3161
22;3169
23;3161
24;3211
25;3225
26;3191
27;3211
28;3142
29;3151
30;3230
31;3242
32;3241
33;3212
34;3123
35;3238
36;3198
37;3101
38;3176
39;3151
40;3196
41;3139
42;3216
43;3160
44;3210
45;3116
46;3247
47;3158
48;3198
49;3133
50;3210
51;3211
52;3176
53;3198
54;3237
55;3106
56;3146
57;3215
58;3116
59;3137
60;3167
61;3115
62;3090
63;3173
64;3186
65;3154
66;3246
67;3200
68;3195
69;3200
70;3211
71;3137
72;3199
73;3176
74;3124
75;3204
76;3127
77;2980
78;331
79;254
80;300
81;256
82;244
83;251
84;207
85;174
86;184
87;192
88;180
89;178
90;191
91;190
92;110
93;116
94;49
95;38
96;3
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;340206;89488;1;13922;6679129.738667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;216439;80571;1;13944;6675516.574
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;909481;903666;1;6304;7943911.337349
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;1458654;715186;1;14095;6646542.21734
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;122887;33561;1;14040;6659798.634
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;58830;8259;1;9258;7456950.446
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;666537;27757;1;13955;6674000.124667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;1;6739;7876833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;80612;5986;1;7033;7827797.417333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;100719;29291;1;13762;6706157.587333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;79118;7480;1;8513;7581121.786667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;1771500;850779;1;12608;6893561.992675
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;106649;27609;1;13152;6807834.346
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;1666191;742091;0;14170;6633880.78734
