Simulation Identification;sensor.SimpleWSNNode_Random81
Round;5
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;81
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8266988
Total Number of Sensed Events by the WSN;188646
Number of Sensed Events by the WSN per Day
1;2416
2;2468
3;2373
4;2404
5;2433
6;2461
7;2467
8;2378
9;2415
10;2389
11;2381
12;2432
13;2402
14;2323
15;2370
16;2385
17;2386
18;2359
19;2371
20;2393
21;2455
22;2459
23;2370
24;2351
25;2409
26;2374
27;2432
28;2473
29;2358
30;2453
31;2355
32;2374
33;2414
34;2410
35;2386
36;2360
37;2447
38;2306
39;2420
40;2374
41;2479
42;2511
43;2365
44;2383
45;2450
46;2459
47;2344
48;2385
49;2432
50;2464
51;2466
52;2436
53;2423
54;2464
55;2399
56;2416
57;2406
58;2402
59;2483
60;2430
61;2434
62;2417
63;2455
64;2380
65;2429
66;2346
67;2429
68;2372
69;2463
70;2398
71;2416
72;2375
73;2410
74;2345
75;2423
76;2390
77;2461
78;821
79;410
80;255
81;219
82;222
83;221
84;202
85;222
86;215
87;187
88;146
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;729121;737637;0;8517;7576074.178009
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;193915;66099;0;13887;6685103.406
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;333009;38163;0;14029;6661604.355333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;106703;25447;1;10886;7185513.984667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;170578;62604;1;12703;6882457.709334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;838594;14256;0;13926;6678914.464
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;1318085;169913;0;13976;6669647.188668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;1;9123;7479500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;807373;27383;1;13751;6708002.368667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;1;13888;6685333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;355012;102839;0;13518;6746382.966001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;106291;14073;0;14073;6654415.562
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;1;8770;7538333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;187376;6286;1;7264;7789295.617333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;106099;26772;1;12599;6900006.034667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;387680;14274;0;13245;6792414.356
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;545096;178551;0;14054;6656595.360668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;291476;115069;1;12388;6934642.919334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;366471;12121;1;12259;6956760.607333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;392246;13835;1;13835;6694083.656666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;796223;56537;1;4495;8250494.111334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;47371;7748;1;4980;8169953.512
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;1303363;412219;0;14046;6656526.686004
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;114423;13435;1;13545;6742419.39
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;1;5276;8120666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;218084;89713;1;13971;6670961.722001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;112149;41702;1;13924;6679083.121333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;134685;3608;1;4398;8266978.352
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;1;7239;7793500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;846588;6172;1;6437;7927129.634667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;453812;13941;0;13941;6676416.354
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;0;0;1;8470;7588333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;0;0;1;13994;6667666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;111968;14085;1;14085;6652415.49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;229864;14332;0;13984;6669247.341333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;615309;248563;0;13967;6670675.288669
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;126993;10771;1;11422;7096268.707333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;1685342;14110;0;14110;6648248.673333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;0;0;0;14102;6649666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;144063;8171;1;9037;7493784.307333
