Simulation Identification;sensor.SimpleWSNNode_Random49
Round;7
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;49
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8311501
Total Number of Sensed Events by the WSN;55871
Number of Sensed Events by the WSN per Day
1;683
2;710
3;711
4;708
5;683
6;677
7;688
8;676
9;697
10;713
11;707
12;675
13;674
14;668
15;651
16;749
17;672
18;714
19;707
20;738
21;654
22;685
23;686
24;705
25;737
26;720
27;697
28;687
29;733
30;721
31;724
32;707
33;700
34;686
35;709
36;670
37;722
38;721
39;675
40;655
41;691
42;697
43;690
44;713
45;704
46;681
47;666
48;702
49;678
50;673
51;681
52;683
53;682
54;666
55;710
56;677
57;701
58;700
59;686
60;708
61;675
62;691
63;687
64;684
65;721
66;678
67;699
68;647
69;709
70;712
71;707
72;767
73;672
74;675
75;716
76;707
77;713
78;471
79;379
80;336
81;119
82;119
83;155
84;105
85;126
86;106
87;118
88;124
89;79
90;82
91;8
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;7924;7679333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;1;14062;6656333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;104447;17839;1;11437;7093726.299333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;216100;14120;0;14120;6646581.946667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;304451;110375;1;12687;6884837.750001
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;1;7527;7745500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;1;10586;7235666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;365922;27992;0;13982;6669498.714667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;0;0;1;14030;6661666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;1;9398;7433666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;1;13972;6671333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;0;14038;6660333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;1;10608;7232000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;11219;7130166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;0;1;13904;6682666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;0;0;1;7555;7740833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;413776;13173;1;13173;6804420.962
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;0;0;1;14088;6652000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;0;0;1;14176;6637333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;76911;25240;1;11629;7061681.893333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;0;0;1;13960;6673333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;24936;13902;1;13902;6682916.588
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;0;0;1;12414;6931000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;159996;158805;1;7265;7788213.836669
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;1;9462;7423000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;0;0;1;8033;7661166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;0;0;1;14195;6634166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;0;0;1;13999;6666833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;1;6794;7867666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;0;0;1;10464;7256000
