Simulation Identification;sensor.SimpleWSNNode_Random64
Round;11
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;64
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8518620
Total Number of Sensed Events by the WSN;88149
Number of Sensed Events by the WSN per Day
1;1145
2;1125
3;1091
4;1132
5;1108
6;1104
7;1126
8;1103
9;1120
10;1093
11;1140
12;1064
13;1085
14;1110
15;1138
16;1131
17;1083
18;1081
19;1064
20;1157
21;1111
22;1132
23;1120
24;1121
25;1108
26;1107
27;1109
28;1141
29;1112
30;1108
31;1095
32;1078
33;1129
34;1112
35;1152
36;1132
37;1128
38;1087
39;1156
40;1090
41;1125
42;1130
43;1137
44;1132
45;1121
46;1081
47;1121
48;1121
49;1141
50;1100
51;1090
52;1168
53;1065
54;1079
55;1134
56;1110
57;1158
58;1119
59;1126
60;1145
61;1111
62;1087
63;1163
64;1122
65;1131
66;1122
67;1180
68;1073
69;1124
70;1154
71;1091
72;1155
73;1108
74;1167
75;1169
76;1102
77;1123
78;346
79;188
80;236
81;168
82;181
83;179
84;161
85;168
86;152
87;117
88;85
89;55
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;13937;6677166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;1;13914;6681000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;0;0;1;13836;6694000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;0;0;1;14108;6648666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;82645;7273;1;8296;7617289.695333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;1;13998;6667000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;1;13826;6695666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;106223;16286;1;11371;7104735.617333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;259370;8073;1;8073;7654451.562
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;0;13923;6679500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;1;13966;6672333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;1;13495;6750833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;23993;5603;1;6654;7890966.382
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;13942;6676333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;0;1;2993;8501166.666667
