Simulation Identification;sensor.SimpleWSNNode_Random100
Round;7
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;100
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8584782
Total Number of Sensed Events by the WSN;247242
Number of Sensed Events by the WSN per Day
1;3163
2;3113
3;3186
4;3165
5;3155
6;3140
7;3163
8;3158
9;3142
10;3195
11;3204
12;3210
13;3239
14;3158
15;3179
16;3168
17;3180
18;3205
19;3123
20;3148
21;3172
22;3213
23;3191
24;3195
25;3243
26;3139
27;3183
28;3212
29;3188
30;3200
31;3190
32;3193
33;3194
34;3140
35;3162
36;3149
37;3181
38;3171
39;3230
40;3195
41;3197
42;3177
43;3177
44;3184
45;3174
46;3202
47;3142
48;3147
49;3151
50;3173
51;3231
52;3168
53;3150
54;3129
55;3169
56;3191
57;3155
58;3186
59;3185
60;3166
61;3183
62;3129
63;3218
64;3189
65;3216
66;3160
67;3169
68;3167
69;3184
70;3187
71;3126
72;3184
73;3230
74;3174
75;3121
76;3232
77;3234
78;401
79;173
80;174
81;174
82;181
83;163
84;163
85;203
86;178
87;158
88;82
89;89
90;79
91;84
92;90
93;93
94;65
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;1396864;54697;1;14053;6657505.151334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;283352;58027;0;13686;6718651.838
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;324859;14084;0;14084;6652582.162667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;1437544;14017;1;14030;6661582.564666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;1818981;390669;1;14000;6664322.65267
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;375581;28245;0;14074;6654163.863333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;826801;223421;1;13914;6679659.474002
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;323089;14056;1;14057;6657082.330666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;49849;27715;1;13858;6690167.043333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;220568;30407;1;14070;6654817.558
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;140585;18884;1;11775;7037386.696
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;381771;13812;1;13872;6687917.128
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;460445;14070;0;14070;6654915.58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;405137;80683;1;13967;6671682.568667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;919782;13889;1;13938;6676916.666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;190996;23286;0;13943;6676026.950667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;696824;42220;0;14058;6656746.68
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;237902;68408;1;14176;6636922.885334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;389457;14164;1;14164;6639248.349333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;387973;13969;1;13977;6670416.186
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;135277;12195;1;12654;6890926.83
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;1399563;155315;0;14090;6650734.776668
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;187484;14096;0;14096;6650582.090666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;157272;54400;1;11465;7088840.266667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;1131565;1098619;1;9032;7488074.952679
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;614240;14004;1;14014;6664249.309333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;683811;14021;1;14029;6661749.207333
