Simulation Identification;sensor.mobile.DynamicReorganizedMobileWSNNode_Random100
Round;27
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;100
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;7754921
Total Number of Sensed Events by the WSN;268716
Number of Sensed Events by the WSN per Day
1;3293
2;3249
3;3208
4;3219
5;3279
6;3236
7;3284
8;3245
9;3228
10;3257
11;3228
12;3190
13;3255
14;3268
15;3276
16;3299
17;3262
18;3243
19;3217
20;3268
21;3274
22;3239
23;3284
24;3206
25;3250
26;3203
27;3245
28;3228
29;3277
30;3306
31;3209
32;3305
33;3259
34;3264
35;3273
36;3235
37;3237
38;3280
39;3315
40;3294
41;3301
42;3215
43;3239
44;3232
45;3240
46;3274
47;3262
48;3247
49;3219
50;3305
51;3253
52;3227
53;3235
54;3221
55;3295
56;3309
57;3216
58;3252
59;3262
60;3241
61;3227
62;3258
63;3240
64;3209
65;3203
66;3233
67;3223
68;3232
69;3233
70;3234
71;3248
72;3245
73;3289
74;3177
75;3236
76;3243
77;3268
78;3073
79;3013
80;2748
81;2709
82;2598
83;2460
84;1724
85;161
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node0;0;1038840;365568;0;13832;6692473.25867
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node1;0;186817;51185;1;13996;6667026.223334
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node2;0;314013;28354;0;14050;6658163.209333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node3;0;469407;37599;1;11731;7044607.739333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node4;0;403614;89755;0;14158;6639794.803334
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node5;0;1267312;535854;0;14032;6658118.209338
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node6;0;91132;13169;1;10415;7264087.652667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node7;0;721336;57276;0;13886;6685323.010667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node8;0;1220743;616233;0;10320;7276302.602006
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node9;0;385597;79012;0;14052;6657525.928
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node10;0;299561;76184;0;13937;6676709.562667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node11;0;379174;52117;0;14095;6650520.631334
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node12;0;1239746;14419;0;13903;6682746.819333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node13;0;618579;213010;0;13947;6674221.940002
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node14;0;1025414;329569;0;13990;6666355.919336
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node15;0;131369;14478;0;13474;6754246.465333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node16;0;573885;158797;0;14144;6641713.884668
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node17;0;119918;15659;0;10721;7213072.712667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node18;0;396094;56930;0;13941;6676158.42
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node19;0;931574;79964;0;13989;6668020.216
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node20;0;244883;23783;0;14169;6638357.302
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node21;0;1161435;144044;0;13871;6687302.402668
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node22;0;85107;10598;1;10432;7261269.745333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node23;0;700686;23228;0;14023;6662693.965333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node24;0;116343;36019;0;13984;6669117.219333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node25;0;400164;14189;0;13888;6685248.199333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node26;0;570929;74540;0;14108;6648219.426667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node27;0;635542;127506;0;13970;6670901.630668
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node28;0;1197257;14462;0;14037;6660413.228
